original_text,char_pert,word_pert,adv_pert,true_label,original_pred,char_pred,word_pred,adv_pred,original_conf,char_conf,word_conf,adv_conf
<user> chile the ghetto ðŸ’€ ðŸ’€ ðŸ’€ they mustve stole it coz they hate u i,<u$er> chile the gh37to ðŸ’€ ðŸ’€ ðŸ’€ th3y mus7ve st0l3 1t (oz th3y hte u i,<user> chile the ghetto ðŸ’€ ðŸ’€ ðŸ’€ they mustve stole it coz they hatred u i,in my opinion <user> chile the ghetto ðŸ’€ kind of ðŸ’€ ðŸ’€ they mustve stole it coz they hate u i,1,1,0,1,1,0.7319555878639221,0.5374293923377991,0.7491441965103149,0.7329107522964478
holly serial killer wtf are you retard ðŸ˜¨ ðŸ˜¨ ðŸ˜¨,holl s3r1al kill3 w7f a3 y0 retar ðŸ˜¨ ðŸ˜¨ ðŸ˜¨,holly sequential killer wtf are you retard ðŸ˜¨ ðŸ˜¨ ðŸ˜¨,holly serial killer somewhat wtf in my opinion are you retard ðŸ˜¨ ðŸ˜¨ ðŸ˜¨ quite,1,1,0,1,1,0.7039347887039185,0.7725501656532288,0.7245158553123474,0.6234342455863953
<user> a redneck woman,<user> a ren3ck womn,woman <user> a redneck,<user> a somewhat redneck in my opinion woman,1,0,0,0,0,0.6518131494522095,0.788284182548523,0.8900321125984192,0.6475009322166443
fun fact did you know kardashian is armenian for nigger lover,fun f@ct d1d ou kn0w k@rashian1s armni@nf0r nigger l0vr,fun fact did you know kardashian is armenian for jigaboo buff,fun fact did you know kardashian kind of is armenian for nigger lover in my opinion,2,1,0,0,1,0.5269498825073242,0.7752881646156311,0.930446207523346,0.5566232204437256
different caliber rifles being fired shoddy aim isis listed vegas as a city they are targeting if it looks like a dune coon and acts like a dune coon update it looks more like antifa but the female suspect did reportedly visit the me just last year,diff3ent calib3r rifl3$ b3ing ied $hoddy aimisi$ list3d vea$ @s a(iy 7hy r3 tareting if 17 ook$ l1ke a n c0o and ac7$ like a dunec0on update i7 lo0ks m01k3 ant1fa but th3 female suspe(t did r3p0r73ly vi$1t te m just last ear,different caliber rifles embody fired shoddy aim isis heel vegas as a metropolis they are aim if it looks like a dune spade and acts like a dune nigga update it looks more like antifa but the female suspect did reportedly inspect the me just last class,different caliber very rifles being fired shoddy aim isis listed vegas as a city they are targeting if it looks like a dune coon and acts like a dune coon update it looks more like antifa but the female suspect did reportedly visit the me just last year,2,1,1,1,1,0.5785607695579529,0.6255411505699158,0.7777203321456909,0.5857169032096863
pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you exist altright,pro t1p th n1ger dono7 (are if you e^3 own3d $lae randady ought th natzi o great gea7 grandad gr0un the conf3deracyint0 dust i7h t3 boot h33l of 7he pro7o bos3vik ynkee gubment for(3 of weight ad @rms behind it th3y hate you be(@u$3 youar wh1t3 and you exi$t al7ght,pro tip the niggers suffice not attention if you never owned slaves granddaddy fought the natzis or great great grandad background the confederation into dust with the bang heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you subsist altright,pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto really bolshevik yankee gubment force of perhaps weight and perhaps arms behind it they hate you because you are white and you exist altright,2,1,1,1,1,0.9467315673828125,0.7919500470161438,0.9487613439559937,0.9483577013015747
i bet your queers have a hard time typing the word pussy that is why you shit logs smell like ass and astro glide,1 btyour #uers h@ve @ hard timetpin he wod pu$sy 7hat i hy ou shit logs smell ike as$ and a7ro gli3,i bet your queers have ampere hard sentence typewriting the Logos pussy that is why you dickhead logs feel like ass and astro glide,i bet your somewhat queers have a hard time typing the word pussy that is why you shit logs smell like ass and astro glide,1,1,1,1,1,0.9516382217407227,0.7117168307304382,0.9563131928443909,0.9501990675926208
labour concillor in telford more concerned about someones words on twitter than paki moslem gangs raping white children,labou c0ncllor in elf0rd more (0nc3rn3d @osmen3s words on tw1tter th@paki m0slm gangs raping whitechildren,labour concillor in telford more concerned about someones words along twitter than paki Islamic gangs raping white children,labour concillor in telford more concerned about someones very words on twitter than paki moslem gangs raping white children,2,0,1,0,0,0.5811305046081543,0.6901426911354065,0.5156615972518921,0.5667932629585266
bitches be just as messy ass these faggot ass niggas,bit(he$ be just @$ me$$y s$ these fagg07 ass niggas,grouse be just as messy ass these queer ass niggas,bitches be just as messy ass perhaps these faggot ass niggas,1,1,1,1,1,0.9088665246963501,0.8510012030601501,0.8445017337799072,0.9097066521644592
<user> you forgot to mention illegal muslim refugee,<usr> you forgot to men7i0n ill3g@l msl1m r3fugee,illegal muslim refugee <user> you forgot to mention,rather <user> in my opinion you forgot to mention illegal personally muslim refugee,1,1,0,1,1,0.6136540770530701,0.6904423832893372,0.6438953280448914,0.5442339777946472
<user> normalize hating white people,<$er> n0rmal1ze hat1ng white peope,<user> normalize hating white people,<user> rather personally normalize hating white people somewhat,1,0,0,0,0,0.5672221183776855,0.6301751732826233,0.5672221183776855,0.5862546563148499
we sound stupid when we talk ghetto remember white women calling jewelry bling it was embarrassing to hear my favorite is white guys wearing their pants below their asses whoever told them this was cool,3 sound tupid wh3n wetalk gh3t7o rem3mber hit3 women(alling welry bling i7 w$ embarrassing 70 h3ar my f@vori73 i$ whte gu$ wear1ng thir pantsb3low the1r @$3s who3v3r 70ld 7hem thi$ w@$ (o0l,we sound stupid when we talk ghetto remember white charwoman visit jewelry bling IT be embarrassing to hear my favorite is tweed guys erosion their pants below their asses whoever told them this was coolheaded,we sound stupid when we talk ghetto remember white women calling jewelry bling it was embarrassing to hear my favorite is white guys in my opinion wearing their pants below their asses whoever perhaps told them this was cool,1,1,1,1,1,0.879866361618042,0.8884050846099854,0.9678887128829956,0.8796016573905945
let me go and watch power because you niggers have no respect,l3t me g and wtch power bcus3 you nigg3rs a^e no r3$p3(t,let me exit and watch power because you coon have nobelium respect,let me go kind of and watch power because you niggers have no respect in my opinion really,2,1,1,1,1,0.9703590869903564,0.6952410340309143,0.969254732131958,0.9696046113967896
trump and the lawless republican party have turned this country into a shithole country with no justice no authority to enforce our laws any longer this potus and mcconnell senate are declaring that they are above our laws but the peasant citizens must obey the laws,trmp and the lawle republ1(an party a^3 turn3d th1s country 1to a sh17hoe(0un7ry wi7h no juti(3 no @uthorityt enforce our laws @ny longe 7hisp7us and mcconnell sen@te are d3cl@ring that hey @re @bov 0ur laws bt the pe@san (i7izen$ must b3y7he l@$,mcconnell senate be declaring that they are supra our laws but the peasant citizen must obey the jurisprudence scoop and the outlaw republican party feature turned this country into a shithole country with no justice no sureness to enforce our laws any longer this potus and,trump and the lawless republican rather party have turned this country into a shithole country really with no justice somewhat no authority to enforce our laws any longer this potus and mcconnell senate are declaring that they are above our laws but the peasant citizens must obey the laws,0,1,1,1,1,0.5783097743988037,0.6080924272537231,0.5512344837188721,0.6272504329681396
fuck that ghetto bitch she attacked a mother with child by pouring a drink on her and then punching her she punked the mother out in front of her child and in public people who do not know how to behave civilized should not be out in public,uck that ghe770 bit(h s3 a77ak3d a mo7her w1th child b pouring @ drink o he and 7npunch1ng h3r she punke 7he mo7h3rout n fr0t of her child and 1n publc eopl3 who do not know hw 70 beha^3 civ1zed $houd ot b3 ou7 in public,hump that ghetto beef she attacked a mother with minor by pelt a drink along her and so punching her she punked the beget out in breast of her child and IN populace people who do non know how to acquit civilized should non be kayoed in populace,fuck that ghetto bitch she attacked a mother in my opinion with child by pouring a drink on her and then punching her she punked the mother out in personally front of her child and in public people who do not know how to behave civilized should not be out in public,1,1,1,1,1,0.93974769115448,0.81916344165802,0.934951663017273,0.8993323445320129
standup purity spiraled iself into a singer songwriter ghetto so that talented performers like a bob hope are not considered real comedians cause they paid other ppl to write jokes for them,$tadu purity$pir@l3d ise 1n0 @ s1nger $ongwritergh37t0 $0 th@ 7lentedperorm3rs l1k3 @ bb hope @re n0 (onsdered 3@l (oedi@ns caus3 7heypi ot3 ppl 7o write jo3s for them,standup purity spiraled iself into a vocalizer songwriter ghetto so that talented performers like a bob hope comprise not considered real comic cause they paid former ppl to write jokes for them,standup purity spiraled iself maybe into a singer songwriter ghetto so that talented performers like a bob hope are not considered real somewhat comedians cause they paid other ppl to write jokes for them,0,1,1,1,1,0.6818112134933472,0.5966320037841797,0.6383790969848633,0.7097804546356201
we are talking about people dick not m ms and the same can apply for white men should we ban white men or ban them from buying guns,we ar3talking @b0ut peopl3 dck n07 m m @nd 7h $ame c@n apply for whit3 m3n sh0uld we ba white men0r b@n th3m from buying gus,we exist talking about citizenry pecker not m 1000 and the Lapplander crapper apply for white men should we ban white men or banning them from purchasing guns,we are talking about people dick not m ms and the same can apply for white men should really we ban white men or ban them from buying guns,1,1,1,1,1,0.6074730157852173,0.6354291439056396,0.6327598690986633,0.6520341038703918
<user> <user> <user> instead break pakistan no illegal pak muslim immigrants allowed in india i mean the word illegal,<u$er><user> <u$3r> instead re@k paki$tn no 1ll3g@l p@k mul1m immigrants allowed 1n indi@i mean he word ill3@l,<user> <user> instead break pakistan no illegal pak muslim immigrant provide in india one mean the word illegal <user>,<user> <user> <user> instead break pakistan really no illegal pak muslim immigrants allowed in my opinion in india i mean the word illegal,0,1,1,1,1,0.7239193320274353,0.5103895664215088,0.7769518494606018,0.689640462398529
fuck off you nigger loving whore your mom need a slap upside the head for boring such a chicken shit pansy,fuc off you ngger l0ving wore y0ur mom ee  sap up$ide he head for boring such @ (hi(kn sh1t @n$y,fuck off you coon loving cyprian your mom need a slapdash top the head for boring such a wimp shit pansy,fuck off you nigger loving whore kind of your mom need a really slap upside the head for boring such a chicken shit pansy,2,1,1,1,1,0.9699339866638184,0.8974863886833191,0.9549601674079895,0.9682108759880066
<user> <user> climate change is a fucking hoax,us3r <us> (limte(h@nge is a fcking hax,<user> <user> climate change is a fucking hoax,<user> <user> climate change maybe is somewhat a somewhat fucking hoax,0,0,1,0,0,0.8368133902549744,0.6200774908065796,0.8368133902549744,0.8647746443748474
these yuri boards need to stop the purpose of life is to perpetuate the species two girls cannot reproduce two girls would not make good parents sociologists agree children reared in gay households are more likely to be homosexual all this proves yuri is immoral and wrong it just science,thes3 uri bo@rdseed to $top thurp0$3 0f l1fe is t prpetute 7he $p3(ies two girl c@nn0t rerodu(e 7wogils would 07mak good parent$ $oci0log1st$ agr3 children re@redin gay h0usehold$ ar3 oe lkely to be h0mo$3xual all th1s proves yr1 is 1mmo@l and wrong 1t just science,species 2 girls cannot reproduce II fille would not make good parents sociologist agree children reared in festive households comprise more likely to be homosexual all this proves yuri is immoral and wrong it just science these yuri card need to stop the intent of life is to perpetuate the,these yuri boards need to stop the purpose of life is to perpetuate the species two girls cannot reproduce two girls would not make good parents sociologists agree maybe very children reared in gay households are more likely to be homosexual all this proves yuri is immoral and wrong it just science,1,1,1,1,1,0.7957007884979248,0.7497419714927673,0.6929875612258911,0.8208550810813904
do not deny it wasn t a scary few days he did immediately blame both sides dems say not enough on mon he does not mention the violence of antifa blm only condemns kk white supremacists nazis the altright had the permit with zero police protection beaten maced an error on trumps part,o no7 dny it wasn ta $cary few ays he d1d 1mmed1atel blame both sid$ dm $ay not 3nogh n mon he doe$ no7 menti0n the vio3n(e of @nt1@ bl 0ly condmns kkwhit3 upre@c$ts nazi$ the altriht h@d 7h3 prmit wth zero polic3 prot3ct10n be@7e ma(ed @n errr 0n trumps part,do not deny it wasn t a shivery few days he did immediately blamed both sides dems say not plenty along Mon he does non note the violence of antifa blm only condemns kk white supremacists nazi the altright had the permit with zero police protection beaten maced an error along trumps part,do not deny it wasn t a scary few days he did immediately blame both sides dems say not enough on personally mon he does not mention the violence of antifa blm only condemns kk white supremacists nazis the altright had the permit with zero police protection beaten maced an error on somewhat rather trumps part,0,0,1,0,0,0.6283599734306335,0.685994029045105,0.590750515460968,0.6151697039604187
he is one obnoxious greasy nasty lying self serving horrible little muslim bastard,h3 is ne oi0us rea$ na$7y lying s3lf $erv1 hrrible little musl1 ba$7@r,he is one obnoxious greasy nasty lie self serving horrible little muslim bastard,kind of he is one obnoxious greasy nasty lying somewhat self serving maybe horrible little muslim bastard,2,1,1,1,1,0.767474889755249,0.5818504095077515,0.7590539455413818,0.7568479776382446
this coon is full of shit,this c00n i$ full 0f $ht,this nigger is full of defecate,this coon is full kind of of shit,2,0,0,1,0,0.5025128722190857,0.9264342188835144,0.8375027775764465,0.5006973147392273
loll calling me a zhid and pedophile when i am neither,loll calling e a zhid and 3dophile whe i a neih3r,droop calling me a zhid and pedophile when iodine live neither,loll rather perhaps calling me a zhid and pedophile when maybe i am neither,0,1,1,1,0,0.5837482213973999,0.6577417254447937,0.9462421536445618,0.5720255970954895
that seems like a misleading generalization i heard black women do not like giving oral i bet the black gays do though and the dl guys probably do so prob <number> <number> tops,7hat sem$ lie a 1$l3ading g3neral1z@7io i he@rdbl@ck wom3n do notl1k i^1ngoral i bet h3 lack gays do 7houg @nd the dl guyspr0bbly o $0 pro <number> <numb3r> t0ps,the grim gays do though and the deciliter guys believably do so prob <number> <number> pinch that seem like axerophthol misleading generalization i heard black women do not like giving oral i bet,that seems like a misleading generalization i heard black women do not like giving oral i in my opinion bet the black gays do though and the dl guys probably do so prob <number> <number> tops,1,1,1,1,1,0.6701988577842712,0.8764575123786926,0.8705813884735107,0.6789569854736328
brian ross suspension people lost money sorry but ziltch any sympathy those retarded enough to panic sell off shoudln t invest if they panicked over that they d ve lost it all later anyhow armaggedons can really occur but not everything armaggedon either concern but not actionable panic,b1an r0s$ $uspen$i0n people o$t m0ney s0rry b ilch any ymp@ty th0$e r3t@rd3d 3n0gh t0 p( $ell off shoudln t 1n^s7 if 7h3y p@nick3d0^3r7hat 7hey d ^e ot 1t all later anow@ragged0ns (an r3aly oc(urut n0t everyth1ng arm@gg3don ei7her (0cern but not @(ti0nabl3p@ni(,brian ross suspension people mislay money sorry but ziltch any understanding those decelerate enough to terror sell off shoudln t invest if they panicked over that they d ve preoccupied IT all later anyway armaggedons lavatory actually happen only not everything armaggedon either concern but not actionable panic,brian ross suspension people lost money sorry but ziltch any sympathy those retarded enough to panic sell off shoudln t invest if they panicked over really that they d ve lost it all later anyhow armaggedons rather can really occur but not everything armaggedon either concern but not actionable panic,0,0,1,0,0,0.5309152007102966,0.6140099167823792,0.6118031740188599,0.549821138381958
justin trudeau is the retarded asshole bastard son of fidel castro,$t1n trudeau is the retrded ash0le ba7ard sn 0f fid3l castr0,justin trudeau is the retarded asshole bastard Logos of fidel Castro,justin trudeau is the in my opinion retarded asshole very bastard son of fidel castro,1,1,0,0,0,0.5218648314476013,0.9372007250785828,0.5270930528640747,0.5603980422019958
o brien said that the vast majority of the <number> illegal immigrants now in daca have never been interviewed by any representative of the u.s. government either in person on over the phone,o brie sid tat the ^as majrity of h3 <numer> ll3gl imigrant$ nw in d@ca have ne^er been in73riewd by any r3presentativ3 0fthe u.s. govermen ei7her in p3rs0n 0n o^r he hone,over the earphone o brien state that the vast majority of the <number> illegal immigrant now in daca have never been interview by whatever representative of the u.s. government either in person on,o brien said in my opinion that the vast majority of the <number> illegal immigrants now in daca have never been interviewed by any representative of really the u.s. government either in person on over the phone,0,1,0,1,1,0.5854361653327942,0.5135892033576965,0.6632214784622192,0.581358790397644
you niggas is fake asl that â€™ why you don â€™ t see none round me,y0u niggasis fake a$l th@t  whyou don  7 s3 non3 roundme,round me you jigaboo is fake asl that â€™ wherefore you Don â€™ t catch none,somewhat you niggas is fake asl that â€™ why you rather don somewhat â€™ t see none round me,2,1,1,1,1,0.8570402264595032,0.7193421125411987,0.9512502551078796,0.7292160987854004
somehow i wish i was the man with the white today ðŸ˜… god bless the trap niggas happy october,somehow i wh i w$ 7he man th the wh173 today ðŸ˜… god bl3$$ 7he r@p n1ga$ hapyoctober,somehow single wish i represent the man with the white today ðŸ˜… god bless the immobilize niggas happy october,somehow i wish i was the man with the personally white rather today ðŸ˜… god bless the trap niggas happy october,0,1,1,1,1,0.8013055324554443,0.6078544855117798,0.5948439240455627,0.7167912721633911
<user> that the retarded democrats for you,<u$er tat the re7ared demo(r@ts or you,<user> that the retarded democrats for you,<user> rather that the kind of retarded democrats for you,1,0,0,0,0,0.7180049419403076,0.9267681837081909,0.7180049419403076,0.7274941802024841
there are good and decent people here who have no interest in hearing jew nigger kike spic jap wop dago mick kraut porch monkey sand nigger moon cricket must they endure just so you can have your opinion validated,tere ar god and decent 0ple her wh0 have no 1ntrestin h3ang jw n1ggek1k3 $pic jap wop d@g mick kr@u por(h on3y @n nigger m0on cricket must they 3ndure ju$ s0 y0u c@n ha^3 your op1n1on valid@td,thither are unspoiled and decent people here who experience No interest in hearing Jew spade hymie spic Jap wop dago mick Krauthead porch monkey sand nigger daydream cricket must they endure just so you can deliver your opinion validated,there are good and decent people here who have no very interest in hearing jew nigger kike spic jap wop dago mick kraut porch monkey sand nigger moon cricket must they endure just so you can have your opinion validated,0,1,1,1,1,0.9683739542961121,0.8136850595474243,0.9606227874755859,0.9682022333145142
install writing app on phone connect tiny bluetooth keyboard type up shit on my phone while on my balcony using this ghetto set up good feeling gabwriters,install w171ng app 0nphon3 connecttiny lue7o7h keybo@rdtyp up shit 0 my phone while 0n my al(0ny usig thi$ gh3tto set up go0d eeling gawriter$,establish writing app on telephone connect tiny bluetooth keyboard typecast up shit on my phone while on my balcony using this ghetto define up good feeling gabwriters,install writing app on phone connect tiny bluetooth keyboard type up shit on my phone while personally on my balcony using this ghetto somewhat set up good kind of feeling gabwriters,0,1,1,1,1,0.6336566805839539,0.6170913577079773,0.9354844689369202,0.6446440815925598
mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me <number> hrs in das hole damn snowflakes,m0h@mmad b1n s@lman @l s@ 0r3red the bone$@wingof an@m3r1can jour@l1$t 1 $ai nly 7h1ng i w@na se3 r her fr0m that cam j0(keyprince s $crea$ bone s@wing h1mup live 0n t.v and 7witt3r g1ve$ me <numb3r> rs n ds hol3 damn$n0wf@ke,in hyrax hole damn snowflakes mohammad bin salman al saud ordered the bone sawing of AN american journalist iodin said only thing unity wanna see or hear from that camel jockey prince is screams bone saw him up endure on t.v. and twitter gives me <number> hrs,mohammad bin salman personally al in my opinion saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me <number> hrs in das quite hole damn snowflakes,2,1,1,1,1,0.9338535070419312,0.6528939008712769,0.7650483250617981,0.8824047446250916
do not you love when nazi wannabes complain about israel because hey like we do not want them here but we do not want them there either stupidity,do not you lov3 wen n@z1 w@nnabes compain @b0ut isra3l be(ause hey lik w3 do not w@nt th3hre t we d nt want th3m the eithr $tpid17y,do not you love when Nazi wannabes quetch about Yisrael because hey like we do not want them here but we DO not want them thither either stupidity,do very not you love when nazi wannabes complain about israel because kind of hey like we do perhaps not want them here but we do not want them there either stupidity,0,1,1,1,1,0.9701593518257141,0.7411705255508423,0.9643227458000183,0.9696003794670105
i thought the german refugees were because of yet another french invasion of their homeland the vastly more common historical scenario i may have to check the news to confirm,i7hough7 7h3 g3rman r3gees wer3 b3c@u$ 0f yet anotr fr3nch 1n^@si0n of thir homelnd th ^@$tly ore c0mm0n h1st0ri(al s(3n@ri i may hae to (heck thenws to (onf1rm,i thought the German refugees were because of yet another french intrusion of their homeland the vastly more common historical scenario i may have to hitch the news to confirm,i thought the german refugees were because of yet another french invasion of their homeland the vastly more common historical scenario i may have to check the kind of news to confirm,0,0,0,0,0,0.6265671849250793,0.669641375541687,0.5663041472434998,0.6281649470329285
we need common sense nigger control,we need c0mmon s3nse n1gger (0n7rol,we need common sense nigga control,we need common in my opinion sense very nigger control,2,1,1,1,1,0.7002982497215271,0.6043080687522888,0.67558753490448,0.6414903402328491
i needed you and you were not there that made me hate you,1ne3de ou and y0u wer3 not there tha7 madme ha3you,i needed you and you were not there that made ME hatred you,i needed you personally and you were not there that made me hate you,0,0,1,0,0,0.7892631888389587,0.8778099417686462,0.7185878753662109,0.9340461492538452
another day another sand nigger kills whites,anoth3r day @n0ther snd n1gger k1l whit3s,White another day another sand jigaboo kills,another day another personally sand nigger quite somewhat kills whites,2,1,0,1,1,0.7940794825553894,0.8065043091773987,0.6898596882820129,0.7248393893241882
<user> remember when her dad hung out with a ukrainian neo nazi or when he called his captors gooks,<u$er> remember h3n he dad hung out w1th a ukr@1nian n30 nazi or whenh3 (aled hi$ captor$ gooks,<user> retrieve when her pappa hang out with a Ukrainian neo Nazi OR when helium called his captors slime,<user> remember when her dad hung out with a ukrainian kind of neo nazi or when he called his captors gooks,1,1,1,1,1,0.7197496891021729,0.7313849925994873,0.9702220559120178,0.7663719654083252
<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,<user> may @s w3l put you t0good us3 <user> thi$ s an xmpl3 of a mu$li (atfish s7udy i7ha^e fun w17h it bu7 fyou an7 70 cry at me or a ew m0re hrs i suppo$e 7ht wouldjus7 s@ s0m3 7hing no,<user> May equally well put you to good use <user> this cost an example of A muslim mudcat study IT have merriment with IT but if you want to outcry astatine me for a few more hrs i imagine that would just enounce some thing no,<user> may as well put you to good use <user> this is quite an example of a muslim catfish study it have fun with it perhaps but if you want to cry at me for a few more in my opinion hrs i suppose that would just say some thing no,0,1,1,1,1,0.8508436679840088,0.875612735748291,0.6708264946937561,0.7025537490844727
<user> and this is why zionist hate him and want to destroy russia they kicked out the big banks owned by kenite jews russia is literally the last vestige of white values left in the world,<us3r> @nd 7his is why zi0nis7 hat3 him and want t0 de$7r0y ru$1a they ki(k3d out he big banks owned by k3nite jews rus$1@ 1s lier@lly the l@$t vestge of whi7e v@lu3sl3ftin the world,<user> and this cost why zionist detest him and want to destruct USSR they kicked out the big Banks owned by kenite jews russia is literally the last vestige of Caucasian measure left in the world-wide,<user> and this is why zionist hate him and want to destroy russia they kicked out the big banks owned by kenite jews russia is kind of literally the last vestige of white values left in the world,0,1,1,1,1,0.7144938707351685,0.7153233289718628,0.7812864780426025,0.720172643661499
<user> i just watched my two retarded 4 th grade teachers be retarded assholes,<user> i jus7watched my t0 37@rd3d 4 7h gr@d tea(h3r$ be etard3 as$0l3$,<user> i just watched my two slow 4 th grade teachers glucinium retarded assholes,<user> i just perhaps watched my two retarded personally 4 th grade teachers be retarded assholes very,0,1,0,1,1,0.6474717855453491,0.8214883208274841,0.6782223582267761,0.6795017123222351
<number> to <number> seems about right as a general rule about left vs right violence as well,<umb3r> to <num3r> sems @bou7righ7 @s @ en3r@l rule aout left ^$ r1gh7 v10len(eas 3ll,<number> to <number> seems about rightfulness as a general rule about left vs decent violence a well,<number> to <number> seems about right as a general rule rather about left vs right violence as well,0,0,0,0,0,0.9128252267837524,0.8501163125038147,0.8625202775001526,0.9005872011184692
nuke a gay whale for christ,nuke gay whale for chri$t,nuke a gay whale for christ,personally very nuke a gay whale for christ,0,1,1,1,1,0.7215197086334229,0.6466145515441895,0.7215197086334229,0.6418440937995911
blacks are much fatter in white societies but they complain a lot guess thats why they all want to move here we tried investing there but they ate all the missionaries and raped all the nuns they dont understand homosexuality,bl@ck$ are much f@7t3r 1n whit3 societi3s but th3yc0mpla1n a lot gue$s thats wy th3y @ll wanttoo^ehere 3 triedin^esting th3re but they @t3 @ll th3 mi$sonars and rape allthe nuns hey dont unerst@nd homosxulity,blacks are much fatter in white lodge just they complain a lot guess thats wherefore they all require to move here we sample investing there just they ate all the missioner and raped all the nuns they dont understand homosexuality,blacks are much fatter really in white societies but they complain a lot guess thats why they all want to move here we tried investing there but really they ate all perhaps the missionaries and raped all the nuns they dont understand homosexuality,2,1,1,1,1,0.9613661766052246,0.8486437797546387,0.9659531116485596,0.9617859721183777
<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs,<us3r> <user> b3lieve all w0men unless rped bya demo(ra7 73n d3s7oythe vict1m atall (0$ts,<user> <user> believe all char unless raped by a populist so demolish the victim at all price,<user> perhaps <user> believe all women unless raped by a quite democrat then destroy the victim at all costs,2,1,0,1,1,0.6752974390983582,0.85123211145401,0.519193708896637,0.6599720120429993
bitches broken hearts,17(hesroken hear7s,squawk broken hearts,personally bitches broken in my opinion hearts,0,0,0,0,0,0.9438135027885437,0.9483414888381958,0.869737982749939,0.7142647504806519
keep white ass off my tl you all make me sick,e3p whit3 as off y tl you @ll mak3 m3 ick,preserve white ass sour my tl you all make me sick,keep white ass off really my tl in my opinion you all make me sick,0,1,0,1,1,0.8037523627281189,0.7228236794471741,0.8148075938224792,0.6187419295310974
a good reason why scientists should shut the fuck up when it comes to politics is that they will insist that niggers and arabs are rapey and stupid because of hot weather or lack of water rather than admitting that they have lower iqs and shittier cultures,a g0odreas0n why scetists should shut the fuck up wh3n 1t (omestpoiics 1s that they wll ins1 t@t niggers @nd@rabs @e r@p3 an s7upid because of htwea7he or la(kof @ter ah3 7han @dm1t7ing 7hat they h@v3 low3r iqsnd hi7i3r culture$,small I.Q. and shittier cultures a good reason why scientists should unopen the fuck astir when it comes to politics is that they will insist that niggers and arabs are rapey and stupid because of hot weather or miss of water rather than admitting that they have,a good reason why scientists should shut the fuck up when it comes to politics is that they will insist that niggers and arabs are rapey and stupid because very of hot weather or perhaps lack of water rather than admitting that they have lower iqs quite and shittier cultures,2,1,1,1,1,0.95584636926651,0.9394122958183289,0.9020825028419495,0.9178008437156677
<user> where the fuck are your socks white boy,<us3r> wh3r3 the fuckare yur s0ks whi73 boy,air-sleeve white boy <user> where the fuck are your,<user> really quite rather where the fuck are your socks white boy,0,1,1,1,1,0.661607563495636,0.6680505871772766,0.6976388692855835,0.6651759743690491
